Região;Estado;Ano;quantidade;participacao;variacao
NORTE;AC;2012;375,08;0,08;12,48
NORTE;AM;2012;74,59;0,02;57,31
NORTE;AP;2012;116,04;0,02;24,12
NORTE;PA;2012;3.507,62;0,74;22,28
NORTE;RO;2012;3.377,56;0,71;41,35
NORTE;RR;2012;174,13;0,04;-16,87
NORTE;TO;2012;3.510,25;0,74;37,29
CENTRO-OESTE;DF;2012;894,89;0,19;35,01
CENTRO-OESTE;GO;2012;41.578,68;8,72;36,38
CENTRO-OESTE;MS;2012;21.021,12;4,41;19,19
CENTRO-OESTE;MT;2012;71.057,18;14,91;17,55
NORDESTE;AL;2012;1.724,24;0,36;-4,34
NORDESTE;BA;2012;23.779,59;4,99;10,96
NORDESTE;CE;2012;516,95;0,11;-17,95
NORDESTE;MA;2012;8.373,06;1,76;25,18
NORDESTE;PB;2012;546,48;0,11;33,46
NORDESTE;PE;2012;2.624,48;0,55;-6,69
NORDESTE;PI;2012;4.833,93;1,01;27,19
NORDESTE;RN;2012;393,85;0,08;2,64
NORDESTE;SE;2012;582,50;0,12;-9,82
SUDESTE;ES;2012;4.139,34;0,87;45,88
SUDESTE;MG;2012;34.552,95;7,25;37,42
SUDESTE;RJ;2012;1.146,35;0,24;37,53
SUDESTE;SP;2012;82.060,69;17,22;3,17
SUL;PR;2012;55.128,62;11,57;28,03
SUL;RS;2012;46.766,10;9,81;34,02
SUL;SC;2012;10.383,26;2,18;18,39
SEM DEFINIÇÃO;SEM DEFINIÇÃO;2012;53.315,30;11,19;-21,72
NORTE;AC;2013;346,52;0,07;-7,62
NORTE;AM;2013;124,53;0,03;66,95
NORTE;AP;2013;54,17;0,01;-53,31
NORTE;PA;2013;4.132,15;0,83;17,81
NORTE;RO;2013;3.829,69;0,77;13,39
NORTE;RR;2013;373,67;0,08;114,59
NORTE;TO;2013;4.770,46;0,96;35,90
CENTRO-OESTE;DF;2013;839,62;0,17;-6,18
CENTRO-OESTE;GO;2013;46.723,35;9,42;12,37
CENTRO-OESTE;MS;2013;24.772,58;5,00;17,85
CENTRO-OESTE;MT;2013;87.520,39;17,65;23,17
NORDESTE;AL;2013;1.637,97;0,33;-5,00
NORDESTE;BA;2013;26.427,75;5,33;11,14
NORDESTE;CE;2013;435,91;0,09;-15,68
NORDESTE;MA;2013;8.163,04;1,65;-2,51
NORDESTE;PB;2013;710,67;0,14;30,04
NORDESTE;PE;2013;2.332,34;0,47;-11,13
NORDESTE;PI;2013;4.844,49;0,98;0,22
NORDESTE;RN;2013;279,38;0,06;-29,06
NORDESTE;SE;2013;451,16;0,09;-22,55
SUDESTE;ES;2013;3.613,77;0,73;-12,70
SUDESTE;MG;2013;34.483,58;6,96;-0,20
SUDESTE;RJ;2013;874,93;0,18;-23,68
SUDESTE;SP;2013;73.957,16;14,92;-9,88
SUL;PR;2013;57.693,79;11,64;4,65
SUL;RS;2013;50.721,18;10,23;8,46
SUL;SC;2013;10.764,61;2,17;3,67
SEM DEFINIÇÃO;SEM DEFINIÇÃO;2013;44.893,75;9,06;-15,80
NORTE;AC;2014;544,81;0,10;57,22
NORTE;AM;2014;51,54;0,01;-58,61
NORTE;AP;2014;166,10;0,03;206,60
NORTE;PA;2014;5.312,34;1,02;28,56
NORTE;RO;2014;4.708,84;0,91;22,96
NORTE;RR;2014;585,10;0,11;56,58
NORTE;TO;2014;6.073,36;1,17;27,31
CENTRO-OESTE;DF;2014;773,38;0,15;-7,89
CENTRO-OESTE;GO;2014;44.855,57;8,64;-3,89
CENTRO-OESTE;MS;2014;29.262,38;5,63;18,13
CENTRO-OESTE;MT;2014;91.290,46;17,88;6,19
NORDESTE;AL;2014;1.839,38;0,35;12,30
NORDESTE;BA;2014;28.320,77;5,45;7,17
NORDESTE;CE;2014;543,56;0,10;24,70
NORDESTE;MA;2014;9.741,63;1,87;19,34
NORDESTE;PB;2014;654,20;0,13;-7,95
NORDESTE;PE;2014;2.624,80;0,51;12,54
NORDESTE;PI;2014;5.520,97;1,06;13,96
NORDESTE;RN;2014;386,74;0,07;38,42
NORDESTE;SE;2014;565,67;0,11;25,38
SUDESTE;ES;2014;3.519,58;0,68;-2,61
SUDESTE;MG;2014;33.460,32;6,49;-2,24
SUDESTE;RJ;2014;715,13;0,14;-18,27
SUDESTE;SP;2014;73.123,38;14,07;-1,13
SUL;PR;2014;57.856,89;11,80;6,34
SUL;RS;2014;58.355,53;12,33;26,38
SUL;SC;2014;10.788,18;2,08;0,22
SEM DEFINIÇÃO;SEM DEFINIÇÃO;2014;36.916,22;7,10;-17,77
