id,Nome,Estado,Município Principal,Link
1,AP - Mulheres ribeirinhas vítimas de escalpelamento e outros acidentes no transporte fluvial da Amazônia exigem providências,Amapá, Vitória do Jari,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=1
2,AP - Comunidades de Oiapoque se organizam para enfrentar burocracia governamental e a invisibilidade da realidade indígena perante a opinião pública,Amapá, Oiapoque,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=2
3,AP - Falta de transparência e responsabilidade sobre minério radioativo deixa população do norte do Amapá em estado de alerta,Amapá, Serra do Navio,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=3
4,AP - Precariedade do saneamento básico de Macapá é fator de injustiça ambiental e de comprometimento das condições de trabalho e promoção humana da população mais atingida,Amapá, Macapá,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=4
5,AP - Solução da Comunidade Quilombola do Ambé caminha a passos lentos,Amapá, Macapá,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=5
6,"AP - Pesquisadores ludibriam conselhos de ética e desrespeitam população ribeirinha, em pesquisas humanas com o mosquito Carapanã, agente de transmissão da Malária.",Amapá, Macapá,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=6
7,"AP - Após esgotamento do manganês, passivos ambientais e perspectiva econômica incerta rondam as cidades de Serra do Navio e Santana",Amapá, Serra do Navio,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=7
8,"AP - Mesmo reconhecida, comunidade quilombola de Lagoa dos Índios é vítima da expansão imobiliária de Macapá",Amapá, Macapá,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=8
9,AM - Gasodutos podem atrair destruição para região bem preservada do Amazonas,Amazonas, Manaus,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=9
10,AM - Medidas para a sobrevida da quase extinta Etnia Juma,Amazonas, Canutama,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=10
11,AM - Missão religiosa desestabiliza mundo cultural de povo indígena isolado,Amazonas, Tapauá,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=11
12,AM - Intromissão do tráfico de cocaína na vida dos povos indígenas do Sudoeste Amazonense - inoperância dos governos federal e estadual facilita a atividade dos narcotraficantes e deixa os jovens indígenas em situação de enorme vulnerabilidade,Amazonas, Tonantins,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=12
13,AM - Avanço e violência pecuarista sobre florestas e áreas do extrativismo no Acre e Amazonas,Amazonas, Boca do Acre,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=13
14,AM - Vitória de comunidades extrativistas poderá limitar alcance do Arco do Desmatamento,Amazonas, Lábrea,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=14
15,"AM - Descoberta de ouro, garimpo e conflitos fundiários trazem violência e ameaçam saúde de populações indígenas",Amazonas, Novo Aripuanã,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=15
16,AM - Falta de assistência à saúde indígena coloca em risco a sobrevivência do Povo Pirahã,Amazonas, Humaitá,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=16
17,"AM - Indefinição  sobre políticas de governo, fragilidade da assistência à saúde, avanço do desmatamento e da contaminação  de recursos hídricos para o plantio da soja ameaçam a vida de povos indígenas",Amazonas, Manicoré,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=17
18,AM - Quadro de calamidade da saúde dos povos indígenas do vale do Javari,Amazonas, Atalaia do Norte,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=18
19,AM - Comunidade quilombola do Tambor aguarda titulação para ficar livre das imposições e da discriminação por funcionários do Ibama,Amazonas, Novo Airão,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=19
