UF Notificação	Ano	Casos Por Ano
RO	2010	53
AC	2010	0
AM	2010	9
RR	2010	2
PA	2010	11
AP	2010	0
TO	2010	103
MA	2010	18
PI	2010	24
CE	2010	201
RN	2010	12
PB	2010	4
PE	2010	242
AL	2010	84
SE	2010	9
BA	2010	135
MG	2010	413
ES	2010	191
RJ	2010	69
SP	2010	408
PR	2010	686
SC	2010	261
RS	2010	108
MS	2010	84
MT	2010	155
GO	2010	198
DF	2010	20
RO	2011	88
AC	2011	1
AM	2011	15
RR	2011	3
PA	2011	18
AP	2011	0
TO	2011	131
MA	2011	18
PI	2011	30
CE	2011	302
RN	2011	17
PB	2011	12
PE	2011	356
AL	2011	109
SE	2011	41
BA	2011	218
MG	2011	626
ES	2011	290
RJ	2011	83
SP	2011	635
PR	2011	758
SC	2011	279
RS	2011	181
MS	2011	134
MT	2011	143
GO	2011	196
DF	2011	32
RO	2012	84
AC	2012	0
AM	2012	23
RR	2012	6
PA	2012	40
AP	2012	0
TO	2012	127
MA	2012	17
PI	2012	47
CE	2012	324
RN	2012	17
PB	2012	61
PE	2012	371
AL	2012	165
SE	2012	39
BA	2012	268
MG	2012	820
ES	2012	327
RJ	2012	51
SP	2012	653
PR	2012	758
SC	2012	301
RS	2012	134
MS	2012	159
MT	2012	131
GO	2012	275
DF	2012	47
RO	2013	68
AC	2013	0
AM	2013	22
RR	2013	7
PA	2013	64
AP	2013	2
TO	2013	145
MA	2013	27
PI	2013	49
CE	2013	263
RN	2013	10
PB	2013	87
PE	2013	650
AL	2013	156
SE	2013	31
BA	2013	327
MG	2013	1049
ES	2013	450
RJ	2013	60
SP	2013	753
PR	2013	829
SC	2013	319
RS	2013	112
MS	2013	139
MT	2013	155
GO	2013	457
DF	2013	129
RO	2014	82
AC	2014	0
AM	2014	20
RR	2014	22
PA	2014	42
AP	2014	0
TO	2014	170
MA	2014	17
PI	2014	22
CE	2014	128
RN	2014	16
PB	2014	58
PE	2014	539
AL	2014	150
SE	2014	18
BA	2014	238
MG	2014	807
ES	2014	324
RJ	2014	59
SP	2014	725
PR	2014	565
SC	2014	321
RS	2014	143
MS	2014	115
MT	2014	82
GO	2014	334
DF	2014	40
