;2012;2013;2014
Total:;9690748;11454284;12248546
Algodão ;900811;1040506;923779
Alho;1839;1950;1936
Amendoim;41024;45167;42563
Arroz Irrigado ;163274;189890;215775
Arroz Sequeiro;20619;34306;31615
Banana;9864;16654;13917
Batata Inglesa;140587;163933;158504
Café;339788;292926;309809
Cana-de-açúcar ;1244039;1158865;1031050
Cebola;15330;17892;4613
Citros;221274;190786;182733
Feijão ;269340;290196;271322
Floricultura ;2782;1240;2081
Fruticultura (outras);43364;32719;26812
Fumo;39427;49009;41159
Horticultura (outras);74991;99670;121704
Maçã;42373;54663;48354
Melão / Melancia;6422;11386;10956
Milho Safra ;479010;504538;431369
Milho Safrinha ;435625;594559;645881
Pastagem ;189011;258433;298180
Reflorestamento;33452;7752;7959
Soja;4566265;5866403;6804513
Tomate Envarado;65593;67243;122440
Tomate Rasteiro;69638;101486;68217
Trigo/ Aveia/Centeio/ Cevada;200630;243851;338359
Uva;31721;38967;34804
Áreas não cultivada;0;0;6736
Grãos Armazenados;12010;35495;14378
Outras;30645;43800;37028
