;2012;2013;2014
Total:;823226;902409;914220
Algodão ;55124;70362;60039
Alho;80;97;93
Amendoim;2523;3406;3175
Arroz Irrigado ;12336;13016;13097
Arroz Sequeiro;1698;1543;1566
Banana;2473;3196;2986
Batata Inglesa;8057;9714;9631
Café;31419;21138;20682
Cana-de-açúcar ;74144;77474;68151
Cebola;909;1006;1107
Citros;21065;16093;20346
Feijão ;16137;16612;16312
Floricultura ;177;105;113
Fruticultura (outras);3498;2822;1773
Fumo;1622;2109;1647
Horticultura (outras);5171;6621;10697
Maçã;4579;4988;5287
Melão / Melancia;366;445;562
Milho Safra ;55234;49578;41651
Milho Safrinha ;52440;62390;63184
Pastagem ;16282;26325;26419
Reflorestamento;10423;578;328
Soja;412620;475819;504016
Tomate Envarado;4192;3419;7630
Tomate Rasteiro;3226;5750;3426
Trigo/ Aveia/Centeio/ Cevada;13590;17871;23560
Uva;2231;2478;2570
Áreas não cultivada;0;0;303
Grãos Armazenados;751;3003;1012
Outras;10859;4450;2859
