CULTURA;ANO;Toneladas;Dolares
Algodão ;2012;55124;900811
Alho;2012;80;1839
Amendoim;2012;2523;41024
Arroz Irrigado ;2012;12336;163274
Arroz Sequeiro;2012;1698;20619
Banana;2012;2473;9864
Batata Inglesa;2012;8057;140587
Café;2012;31419;339788
Cana-de-açúcar ;2012;74144;1244039
Cebola;2012;909;15330
Citros;2012;21065;221274
Feijão ;2012;16137;269340
Floricultura ;2012;177;2782
Fruticultura (outras);2012;3498;43364
Fumo;2012;1622;39427
Horticultura (outras);2012;5171;74991
Maçã;2012;4579;42373
Melão / Melancia;2012;366;6422
Milho Safra ;2012;55234;479010
Milho Safrinha ;2012;52440;435625
Pastagem ;2012;16282;189011
Reflorestamento;2012;10423;33452
Soja;2012;412620;4566265
Tomate Envarado;2012;4192;65593
Tomate Rasteiro;2012;3226;69638
Trigo/ Aveia/Centeio/ Cevada;2012;13590;200630
Uva;2012;2231;31721
Áreas não cultivada;2012;0;0
Grãos Armazenados;2012;751;12010
Outras;2012;10859;30645
Algodão ;2013;70362;1040506
Alho;2013;97;1950
Amendoim;2013;3406;45167
Arroz Irrigado ;2013;13016;189890
Arroz Sequeiro;2013;1543;34306
Banana;2013;3196;16654
Batata Inglesa;2013;9714;163933
Café;2013;21138;292926
Cana-de-açúcar ;2013;77474;1158865
Cebola;2013;1006;17892
Citros;2013;16093;190786
Feijão ;2013;16612;290196
Floricultura ;2013;105;1240
Fruticultura (outras);2013;2822;32719
Fumo;2013;2109;49009
Horticultura (outras);2013;6621;99670
Maçã;2013;4988;54663
Melão / Melancia;2013;445;11386
Milho Safra ;2013;49578;504538
Milho Safrinha ;2013;62390;594559
Pastagem ;2013;26325;258433
Reflorestamento;2013;578;7752
Soja;2013;475819;5866403
Tomate Envarado;2013;3419;67243
Tomate Rasteiro;2013;5750;101486
Trigo/ Aveia/Centeio/ Cevada;2013;17871;243851
Uva;2013;2478;38967
Áreas não cultivada;2013;0;0
Grãos Armazenados;2013;3003;35495
Outras;2013;4450;43800
Algodão ;2014;60039;923779
Alho;2014;93;1936
Amendoim;2014;3175;42563
Arroz Irrigado ;2014;13097;215775
Arroz Sequeiro;2014;1566;31615
Banana;2014;2986;13917
Batata Inglesa;2014;9631;158504
Café;2014;20682;309809
Cana-de-açúcar ;2014;68151;1031050
Cebola;2014;1107;4613
Citros;2014;20346;182733
Feijão ;2014;16312;271322
Floricultura ;2014;113;2081
Fruticultura (outras);2014;1773;26812
Fumo;2014;1647;41159
Horticultura (outras);2014;10697;121704
Maçã;2014;5287;48354
Melão / Melancia;2014;562;10956
Milho Safra ;2014;41651;431369
Milho Safrinha ;2014;63184;645881
Pastagem ;2014;26419;298180
Reflorestamento;2014;328;7959
Soja;2014;504016;6804513
Tomate Envarado;2014;7630;122440
Tomate Rasteiro;2014;3426;68217
Trigo/ Aveia/Centeio/ Cevada;2014;23560;338359
Uva;2014;2570;34804
Áreas não cultivada;2014;303;6736
Grãos Armazenados;2014;1012;14378
Outras;2014;2859;37028
