Ano;MilhoesHectaresTransgenicos;CrescimentoTransgenico;VendasToneladas;CrescimentoToneladasAno;CrescimentoToneladasAcumulado;VendasDolares;CrescimentoDolaresAno;CrescimentoDolaresAcumulado
2000;0;0,00;313824;0,00;0,00;2,500;0,00;0,00
2001;0;0,00;328413;4,65;4,65;2,287;-8,50;-8,50
2002;0;0,00;306583;-6,65;-2,31;1,952;-14,68;-21,93
2003;3;0,00;376077;22,67;19,84;3,136;60,69;25,46
2004;5;66,67;463604;23,27;47,73;4,495;43,32;79,80
2005;9,4;88,00;485969;4,82;54,85;4,244;-5,59;69,75
2006;11,5;22,34;480120;-1,20;52,99;3,920;-7,63;56,80
2007;15;30,43;599834;24,93;91,14;5,372;37,05;114,88
2008;15,8;5,33;673892;12,35;114,74;7,125;32,64;185,01
2009;21,4;35,44;725577;7,67;131,21;6,626;7,01;165,03
2010;25,4;18,69;708593;-2,34;125,79;7,304;10,24;192,16
2011;30,3;19,29;730628;3,11;132,81;8,488;16,21;239,52
2012;36,6;20,79;823226;12,67;162,32;9,710;14,40;288,41
2013;40,3;10,11;902409;9,62;187,55;11,454;20,40;368,00
2014;42,2;4,71;914220;1,31;191,31;12,248;4,20;388,00
2015;44,2;4,74;887872;-2,90;182,92;9,600;-21,56;284,00
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
